Tile_id,Name,FilterName,Alpha_J2000,Delta_J2000,FWHM,Depth2FWHM5s,Depth3arc5s,Deptharcsec2,Zero_Point,Zero_Point_Error,Zero_Point_Procedure,TExposed,Efectime,NCombined,Datasum,Observation_Dates,Flag,Flag_Date
27590,1000001-JPLUS-00315-v2_J0430_swp,J0430,255.0013,23.4809,1.13164997,21.4091148,21.1031685,22.1648331,21.4626598,0.0246354006,5,222,214.589996,6,3107153893,2016-06-07 23:36:14 2016-06-07 23:37:21 2016-06-07 23:38:27 2016-06-22 22:38:52 2016-06-22 22:39:59 2016-06-22 22:41:04,None,None
30736,1000001-JPLUS-00315-v2_gSDSS_swp,gSDSS,255.0013,23.4809,1.16190004,22.130888,21.8535805,22.915247,23.644413,0.0276608001,5,78,75.9599991,6,4113545906,2016-06-08 00:22:19 2016-06-08 00:23:02 2016-06-08 00:23:45 2016-06-22 23:24:48 2016-06-22 23:25:30 2016-06-22 23:26:10,None,None
28638,1000001-JPLUS-00315-v2_J0515_swp,J0515,255.0013,23.4809,1.14862001,21.5794182,21.2896309,22.3512974,21.5936298,0.0286235008,5,246,239.710007,6,1178005250,2016-06-07 23:44:27 2016-06-07 23:45:41 2016-06-07 23:46:53 2016-06-22 22:47:02 2016-06-22 22:48:14 2016-06-22 22:49:23,None,None
26016,1000001-JPLUS-00315-v2_rSDSS_swp,rSDSS,255.0013,23.4809,1.13437998,22.1878567,21.8845253,22.9461899,23.6126823,0.0164896995,5,120,118.32,6,1453762187,2016-06-07 23:51:47 2016-06-07 23:52:37 2016-06-07 23:53:25 2016-06-22 22:54:17 2016-06-22 22:55:05 2016-06-22 22:55:53,None,None
30207,1000001-JPLUS-00315-v2_J0660_swp,J0660,255.0013,23.4809,1.16978002,22.4017124,22.1317444,23.1934109,21.0686798,0.0164730996,5,1620,1595.69995,6,3057059206,2016-06-08 00:07:12 2016-06-08 00:12:12 2016-06-08 00:17:12 2016-06-22 23:09:41 2016-06-22 23:14:40 2016-06-22 23:19:40,None,None
26577,1000001-JPLUS-00315-v2_iSDSS_swp,iSDSS,255.0013,23.4809,1.04115999,21.6903191,21.2938843,22.3555489,23.2450008,0.0172228999,5,156,154.860001,6,3948208756,2016-06-07 23:21:15 2016-06-07 23:22:12 2016-06-07 23:23:08 2016-06-22 22:23:53 2016-06-22 22:24:47 2016-06-22 22:25:43,None,None
28111,1000001-JPLUS-00315-v2_J0861_swp,J0861,255.0013,23.4809,0.977210999,21.1965332,20.7312756,21.792942,21.5543728,0.00633114995,5,360,356.589996,6,3339543196,2016-06-07 23:39:48 2016-06-07 23:41:17 2016-06-07 23:42:47 2016-06-22 22:42:25 2016-06-22 22:43:53 2016-06-22 22:45:23,None,None
31773,1000001-JPLUS-00315-v2_zSDSS_swp,zSDSS,255.0013,23.4809,0.97488898,21.4184895,20.9506493,22.0123138,22.6184578,0.00673067011,5,216,213.570007,6,4173510826,2016-06-08 00:31:15 2016-06-08 00:32:20 2016-06-08 00:33:26 2016-06-22 23:33:41 2016-06-22 23:34:47 2016-06-22 23:35:52,None,None
27073,1000001-JPLUS-00739-v2_uJAVA_swp,uJAVA,112.2039,30.4428,1.38378,21.0365734,20.9490128,22.0106773,21.1261101,0.0450509004,5,141.600006,141.220001,3,2477115842,2017-02-17 23:57:02 2017-02-17 23:58:16 2017-02-17 23:59:33,None,None
29695,1000001-JPLUS-00739-v2_J0378_swp,J0378,112.2039,30.4428,1.75967002,20.6879635,20.8613148,21.9229794,20.4719563,0.0368447006,5,239.399994,237.389999,3,1432103133,2017-02-18 00:16:35 2017-02-18 00:18:23 2017-02-18 00:20:11,None,None
