,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS!2,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
7990,220.206548,40.137317,220.206548,40.137316999999996,1,+,6,J144049.57+400814.3,,2003.226,3,25.934,0.5529999999999999,23.896,0.391,22.484,0.171,22.726,0.344,21.593000000000004,0.371,,,,
7991,220.21678,40.154343,220.21677999999997,40.154343,1,+,6,J144052.02+400915.6,,2003.226,3,25.275,0.795,23.438000000000002,0.256,22.52,0.163,22.498,0.26,21.938000000000002,0.425,,,,
7994,220.211175,40.177682,220.211175,40.177682,1,+,6,J144050.68+401039.6,*,2003.2317,3,19.905,0.036000000000000004,18.649,0.008,18.277,0.006999999999999999,18.143,0.008,18.078,0.019,-0.0006900000000000001,,,
7996,220.255778,40.152413,220.255778,40.152413,1,+,6,J144101.38+400908.6,*,2003.226,3,16.340999999999998,0.006,15.308,0.003,14.955,0.003,14.837,0.003,14.812999999999999,0.004,,,,
7999,220.235051,40.157772,220.23505099999997,40.157771999999994,1,+,6,J144056.41+400927.9,*,2003.226,3,24.124000000000002,0.9009999999999999,23.703000000000003,0.332,22.49,0.168,22.614,0.305,22.535999999999998,0.598,,,,
8001,220.248652,40.166722,220.248652,40.166722,1,+,6,J144059.67+401000.1,,2003.2317,3,20.816999999999997,0.067,20.441,0.02,20.325,0.023,19.99,0.026000000000000002,19.892,0.07400000000000001,,,,
8002,220.247524,40.164008,220.24752400000003,40.164008,1,+,6,J144059.40+400950.4,,2003.2317,3,25.237,0.721,22.599,0.10300000000000001,21.23,0.046,20.086,0.028999999999999998,19.465,0.054000000000000006,,,,
8003,220.248704,40.159238,220.248704,40.159238,1,+,6,J144059.68+400933.2,*,2003.2317,3,24.619,0.847,22.945,0.139,21.61,0.064,20.826,0.052000000000000005,20.427,0.12,,,,
8006,220.249821,40.172958,220.249821,40.172958,1,+,6,J144059.95+401022.6,,2003.2317,3,24.255,0.809,24.723000000000003,0.456,22.761,0.16699999999999998,21.951999999999998,0.134,20.969,0.18600000000000003,,,,
8009,220.272634,40.197555,220.27263399999998,40.197555,1,,6,J144105.43+401151.1,*,2003.2317,3,15.477,0.008,12.11,0.001,11.27,0.001,10.97,0.001,11.323,0.002,,,,
8012,220.272013,40.195043,220.272013,40.195043,1,+,6,J144105.28+401142.1,,2003.2317,3,24.635,1.0390000000000001,21.944000000000003,0.081,20.785,0.043,19.898,0.031,22.826999999999998,0.6779999999999999,,,,
8017,220.270981,40.191003,220.270981,40.191003,1,,6,J144105.03+401127.6,,2003.2317,3,25.848000000000003,0.488,25.135,0.49200000000000005,24.408,0.517,22.250999999999998,0.18100000000000002,21.337,0.257,,,,
8018,220.270913,40.190545,220.27091299999998,40.190545,1,,6,J144105.01+401125.9,,2003.2317,3,25.029,0.7979999999999999,23.614,0.244,23.955,0.41700000000000004,22.189,0.16899999999999998,22.473000000000003,0.494,,,,
8020,220.276007,40.172491,220.276007,40.172491,1,+,6,J144106.24+401020.9,*,2003.2317,3,22.04,0.172,20.848000000000003,0.026000000000000002,20.679000000000002,0.03,20.614,0.043,20.766,0.154,,,,
8021,220.277153,40.172202,220.27715299999997,40.172202,1,,6,J144106.51+401019.9,,2003.2317,3,22.008000000000003,0.183,25.320999999999998,0.518,24.6,0.583,23.859,0.597,22.659000000000002,0.564,,,,
8022,220.280076,40.165462,220.28007599999998,40.165462,1,,6,J144107.21+400955.6,,2003.2317,3,22.217,0.198,24.85,0.45399999999999996,24.772,0.517,25.070999999999998,0.47100000000000003,22.951,0.49,,,,
